oracion;intencion;subIntencion
quiero pagar con tarjeta se puede;pagos;medios
cuál es el precio de la carrera;pagos;precio
cuál es el precio;pagos;precio
¿cómo se puede pagar?;pagos;medios
¿cómo se paga?;pagos;medios
tengo que pagar para cursar en ies?;pagos;medios
con qué puedo pagar?;pagos;medios
¿cuándo tengo que pagar?;pagos;precio
¿cuándo tengo que pagar la inscripción?;pagos;precio
¿se paga por adelantado?;pagos;medios
¿se puede pagar todos los meses?;pagos;medios
¿es obligatorio pagar con tarjeta?;pagos;medios
mi papá puede pagar con cheques;pagos;medios
prefiero pagar con pagarés;pagos;medios
prefiero pagar con tarjeta;pagos;medios
hay que pagar todo el semestre;pagos;medios
se puede pagar con efectivo;pagos;medios
cuál es el costo de la carrera;pagos;precio
cuáles son los descuentos;pagos;medios
quiero saber cuál es el precio para cursar la carrera;pagos;precio
estaba interesado en saber cuál es el costo de la carrera;pagos;precio
cómo se paga;pagos;medios
cómo se puede pagar;pagos;medios
cuánto cuesta la matrícula;pagos;precio
hay que pagar matrícula;tramites;requisitos
hay que pagar todo el semestre;pagos;medios
se puede pagar mes a mes;pagos;medios
se puede pagar con tarjeta cordobesa;pagos;medios
quisiera pagar con bancor;pagos;medios
puedo pagar con tarjeta bancor;pagos;medios
se puede pagar con tarjeta de crédito?;pagos;medios
puedo abonar con tarjeta?;pagos;medios
se puede pagar con tarjeta de débito?;pagos;medios
es posible pagar con tarjeta?;pagos;medios
qué precio tiene la matrícula;pagos;precio
creo que voy a pagar con tarjeta;pagos;medios
hay que hacer un cursillo de ingreso?;tramites;cies
hay un curso introductorio;tramites;cies
tengo que tomar un curso introductorio?;tramites;cies
debo tomar un cursillo de ingreso?;tramites;cies
debo tomar un curso introductorio?;tramites;cies
tengo que hacer el cies?;tramites;cies
tengo que hacer un cursillo?;tramites;cies
tengo que hacer alguna inscripción para empezar a cursar;tramites;todas
dónde tengo que inscribirme;tramites;preinscripcion
hay que hacer otros trámites;tramites;todas
cuándo tengo que hacer los trámites;tramites;todas
hay que hacer un curso de ingreso?;tramites;cies
existe un cursillo de ingreso?;tramites;cies
tengo que tomar un curso de ingreso?;tramites;cies
qué es el cursillo de ingreso?;tramites;cies
qué es el cies?;tramites;cies
tengo que hacer el cursillo de ingreso?;tramites;cies
qué materias tiene el cursillo?;tramites;cies
hay un cursillo de ingreso?;tramites;cies
cuándo se cursa el cies?;tramites;cies
cuándo se toma el cursillo de ingreso?;tramites;cies
de qué se trata el cursillo de ingreso?;tramites;cies
hay que tomar un cursillo de ingreso?;tramites;cies
hay que hacer un curso de ingreso?;tramites;cies
hay que hacer un curso nivelatorio?;tramites;cies
como es el curso nivelatorio?;tramites;cies
hay un curso nivelatorio?;tramites;cies
hay un cursillo nivelatorio?;tramites;cies
dan equivalencias?;tramites;equivalencias
qué equivalencias me darían?;tramites;equivalencias
yo cursé en otra carrera me pueden dar materias aprobadas?;tramites;equivalencias
yo cursé en otra universidad existen equivalencias?;tramites;equivalencias
cómo me inscribo;tramites;preinscripcion
cómo tengo que hacer para anotarme;tramites;preinscripcion
cómo me anoto;tramites;preinscripcion
tengo que inscribirme?;tramites;preinscripcion
cómo hago la inscripción;tramites;preinscripcion
hay que hacer algo para inscribirse;tramites;preinscripcion
tengo que inscribirme?;tramites;preinscripcion
quiero anotarme;tramites;preinscripcion
quiero inscribirme;tramites;preinscripcion
qué hay que hacer para anotarse;tramites;preinscripcion
¿qué trámites tengo que hacer para inscribirme?;tramites;preinscripcion
¿qué tengo que hacer para que me inscriban?;tramites;preinscripcion
¿hay que inscribirse?;tramites;preinscripcion
cómo me inscribo en la carrera;tramites;preinscripcion
dónde tengo que inscribirme;tramites;preinscripcion
con quién hablo para inscribirme;tramites;preinscripcion
hay que hacer una preinscripción?;tramites;preinscripcion
tengo que preinscribirme?;tramites;preinscripcion
dónde puedo hacer la preinscripción?;tramites;preinscripcion
dónde se hace la preinscripción?;tramites;preinscripcion
cuál es el primer trámite que tengo que hacer?;tramites;preinscripcion
cuándo tengo que hacer la preinscripción?;tramites;preinscripcion
qué es la preinscripción?;tramites;preinscripcion
puede darme información sobre la preinscripción?;tramites;preinscripcion
cómo hago la preinscripción?;tramites;preinscripcion
quiero preinscribirme;tramites;preinscripcion
vengo para preinscribirme;tramites;preinscripcion
qué tengo que traer para inscribirme;tramites;requisitos
qué papeles tengo que traer para anotarme;tramites;requisitos
tengo que traer el analítico para inscribirme?;tramites;requisitos
¿qué tengo que traer para inscribirme?;tramites;requisitos
tengo que traer algo para inscibirme;tramites;requisitos
cuáles son los requisitos de inscripción;tramites;requisitos
cuáles son los requisitos para matricularme;tramites;requisitos
qué se necesita para matricularse;tramites;requisitos
qué papeles hay que traer para inscribirse;tramites;requisitos
qué documentos son necesarios para poder empezar las clases;tramites;requisitos
qué requisitos hay para ser alumno;tramites;requisitos
cuáles son los requisitos para cursar?;tramites;requisitos
qué requisitos se deben cumplir?;tramites;requisitos
hay algún requisito?;tramites;requisitos
qué documentación tengo que traer?;tramites;requisitos
qué tengo que traer para inscribirme;tramites;requisitos
qué papeles tengo que traer para anotarme;tramites;requisitos
tengo que traer el analítico para inscribirme?;tramites;requisitos
¿qué tengo que traer para inscribirme?;tramites;requisitos
qué papeles hay que traer para inscribirse;tramites;requisitos
qué documentos son necesarios para poder empezar las clases;tramites;requisitos
qué tengo que hacer para inscribirme;tramites;todas
qué tengo que hacer para empezar a cursar?;tramites;todas
qué otros trámites tengo que hacer para inscribirme?;tramites;todas
cuáles son todos los trámites que tengo que hacer?;tramites;todas
cómo es la inscripción;tramites;todas
qué tengo que hacer para empezar;tramites;todas
quiero anotarme;tramites;todas
qué tengo que hacer para anotarme;tramites;todas
cómo me anoto;tramites;todas
qué tengo que hacer para poder cursar?;tramites;todas
qué tengo que hacer para empezar a cursar;tramites;todas
qué trámites hay que hacer para empezar la carrera;tramites;todas
qué tengo que hacer para empezar a cursar;tramites;todas
tengo que inscribirme para poder cursar?;tramites;todas
qué tengo que hacer para ser alumno?;tramites;todas
tengo que hacer algún tipo de trámite?;tramites;todas
hay que hacer algo para empezar a cursar;tramites;todas
me gustaría saber qué trámites hay que hacer;tramites;todas
cuáles trámites tengo que hacer para anotarme;tramites;todas
cómo son los trámites;tramites;todas
cómo hago para empezar;tramites;todas
¿hasta cuándo tengo tiempo para inscribirme?;tramites;todas
¿hasta qé fecha puedo inscribirme?;tramites;todas
¿qué tengo que hacer para ser alumno? ;tramites;todas
¿tengo que pagar antes de inscribirme?;tramites;todas
qué hay que hacer para inscribirse;tramites;todas
qué tengo que hacer para anotarme;tramites;todas
cómo me anoto?;tramites;todas
donde queda el instituto?;generalidades;todas
como llego al instituto?;generalidades;todas
cuales son los horarios que esta abierto el instituto?;generalidades;todas
cual es el mejor turno para cursar?;generalidades;todas
cuantas aulas tienen?;generalidades;todas
como estan equipadas las aulas?;generalidades;todas
cuantos sectores tiene el instituto?;generalidades;todas
tiene comedor?;generalidades;todas
tiene biblioteca?;generalidades;todas
tiene sum?;generalidades;todas
tiene sala de juegos?;generalidades;todas
tiene baños mixtos?;generalidades;todas
tiene sala de informatica?;generalidades;todas
dan material de estudio?;generalidades;todas
tienen libreria propia?;generalidades;todas
en que horarios estan los directores de carrera?;generalidades;todas
como puedo pagar?;pagos;medios
que modalidad de pago tienen?;pagos;medios
puedo pagar con  debito ?;pagos;medios
puedo pagar con efectivo?;pagos;medios
puedo pagar con dolares?;pagos;medios
puedo pagar con tarjeta de credito?;pagos;medios
puedo pagar con pagares?;pagos;medios
puedo pagar con cheques?;pagos;medios
puedo pagar con varios modos a la vez?;pagos;medios
donde pago?;pagos;medios
que precio tiene la matricula?;pagos;precio
cobran inscripcion?;pagos;precio
se pueden pagar algunas materias?;pagos;pagar
se puede pagar con varias tarjetas?;pagos;medios
que interes tiene mi tarjeta?;pagos;medios
tengo que ser el titular de la tarjeta?;pagos;medios
puedo pagar si aparezco en el veraz?;pagos;medios
puedo sacar cuotas en efectivo?;pagos;medios
con que tarjeta tengo menos interes?;pagos;medios
puedo abonar varios semestres?;pagos;medios
puedo pagar cuando me reciba?;pagos;medios
cuanto demora la carrera?;plan;todas
puedo hacer pocas materias?;plan;todas
tienen titulo intermedio?;plan;todas
puedo hacer varios semestres juntos?;plan;todas
cuantas materias maximas puedo hacer?;plan;todas
tengo que cursar semestre completo?;plan;todas
cuantos idiomas tiene?;plan;todas
cuantas materias tiene?;plan;todas
tiene materias opcionales?;plan;todas
como se cursa?;plan;todas
que modalidad tiene?;plan;todas
puedo cursar aveces de mi casa?;plan;todas
tengo muchos profesores?;plan;todas
repiten profesores?;plan;todas
tengo mucha matematica?;plan;todas
son muy cargados los programas?;plan;todas
puedo elegir materias?;plan;todas
donde veo el programa?;plan;todas
el material es escrito o digital?;plan;todas
donde puedo hacer pasantias?;trabajo;todas
son pagas las pasantias?;trabajo;todas
donde puedo pedir trabajo mientras estudio?;trabajo;todas
cuanto es el sueldo promedio?;trabajo;todas
cual es el sueldo promedio?;trabajo;todas
si me recibo mas rapido me pagan mas?;trabajo;todas
cuanto me pagan como junior?;trabajo;todas
se puede trabajar en el estado?;trabajo;todas
puedo hacer mi propia empresa?;trabajo;todas
puedo hacer una cooperativa?;trabajo;todas
puedo dar clases?;trabajo;todas
puedo trabajar mientras estudio?;trabajo;todas
se puede hacer teletrabajo?;trabajo;todas
puedo buscar trabajo en el exterior?;trabajo;todas
puedo trabajar afuera?;trabajo;todas
puedo trabajar remoto?;trabajo;todas
puedo trabajar para la facultad?;trabajo;todas
como es el ambito laboral?;trabajo;todas
cual es la demanda del egresado?;trabajo;todas
existen pasantias?;trabajo;todas
como esta el clima?;charla;todas
a quien votaste?;charla;todas
que numero salen en el quini hoy?;charla;todas
a cuanto esta el dolar?;charla;todas
estas casado?;charla;todas
sos hombre o mujer?;charla;todas
quien te programo?;charla;todas
sos como terminator?;charla;todas
cuanto te pagan;charla;todas
cuanto sale fabricarte?;charla;todas
sos un robot?;charla;todas
de que equipo sos hincha?;charla;todas
vos estudiarias?;charla;todas
me queres comprar alfajores?;charla;todas
puedo publicitar mi trabajo?;charla;todas
cuanto cobra un profesor?;charla;todas
cuanto gana la universidad por semestre?;charla;todas
quien es el dueño?;charla;todas
me pagas la carrera?;charla;todas
quien gana el mundial?;charla;todas
quien creo el mundo?;charla;todas
el titulo tiene validez internacional;trabajo;todas
hay trabajo de;trabajo;todas
que son las practicas profesionalizantes;trabajo;todas
se puede trabajar en estados unidos;trabajo;todas
se puede trabajar en europa;trabajo;todas
te pagan por hacer pasantias;trabajo;todas
tiene demanda la carrera;trabajo;todas
tiene salida laboral;trabajo;todas
tienen programa de pasantias;trabajo;todas
cuanto dura la carrera;plan;todas
dan equivalencias;plan;todas
los libros se entregan en papel;plan;todas
me pasan el programa de las materias;plan;todas
que carga horaria tiene la carrera;plan;todas
que duracion tienen las carreras;plan;todas
que titulo se obtiene con las carreras;plan;todas
se cursan idiomas;plan;todas
como puedo pagar;pagos;medios
como se paga;pagos;medios
cuanto interes tiene el pago con tarjeta;pagos;medios
donde se realizan los pagos;pagos;medios
puedo financiar y pagar al final del semestre;pagos;medios
puedo pagar con tarjeta;pagos;medios
que modalidades de pago existen;pagos;medios
tienen descuentos por pago adelantado;pagos;medios
como es el material de estudio;generalidades;todas
donde queda ies;generalidades;todas
en las aulas hay computadoras para todos;generalidades;todas
hay distintos turnos de cursado;generalidades;todas
puedo estudiar trabajando;generalidades;todas
que es un laboratorio;generalidades;todas
que horarios tiene la facultad;generalidades;todas
se puede cursar de noche;generalidades;todas
tienen biblioteca;generalidades;todas
tienen kiosko o bar;generalidades;todas
como estan cursando en cuarentena;generalidades;todas
se puede cursar en cuarentena;generalidades;todas
como afecta el coronavirus;generalidades;todas
se puede hacer virtual;generalidades;todas
como se estudia ahí?;generalidades;todas
cuanto se paga para poder empezar?;pagos;precio
que presento para inscribirme?;tramites;preinscripcion
que requisitos hacen falta para poder empezar a cursar?;tramites;todas
que carreras tiene en el instituto?;generalidades;todas
que carreras de tecnologia pueden ofrecerme?;generalidades;todas
hay que ir para averiguar por las carreras?;generalidades;todas
en cuartentena debo ir a algun lugar para averiguar?;tramites;todas
como se cursan las materias estando en cuartetena?;generalidades;todas
que precio promedio es el que hay que pagar para estudiar ahí?;pagos;precio
que papeles hacen falta para iniciar?;tramites;requisitos
donde mando las cosas para que me inscriban?;tramites;todas
en que horarios puedo cursar?;generalidades;todas
cuantos dias se cursa en cada carrera?;generalidades;todas
hay algun tipo de ayuda para los que tenemos problemas economicos?;generalidades;todas
me interesan carreras con salida laboral inmediata?;trabajo;todas
que carreras de humanidades pueden estudiartse ahí?;generalidades;todas
me interesa estudiar pero no puedo pagar;generalidades;todas
como pueden ayudarme a que estudie sin tener trabajo?;generalidades;todas
podrian pasarme el telefono para averiguar que estudiar?;tramites;todas
necesitaria informacion sobre las carreras que dictan?;generalidades;todas
necesito pagar la cuota;pagos;medios
quiero pagar la inscripcion;pagos;medios
quiero estudiar algo novedoso;generalidades;todas
que carreras de vanguardia tienen?;generalidades;todas
que materias se dan en las carreras?;generalidades;todas
que tarjetas se pueden usar para pagar?;pagos;medios
hasta cuantas cuotas se pueden hacer para estudiar ahí?;pagos;medios
que forma de pago me ofrecen?;pagos;medios
quiero trabajar en la nasa;charla;todas
cuantas materias hay por carrera?;generalidades;todas
hay descuento por segunda carrera en ies?;generalidades;todas
cuanto tiempo por dia hay que estudiar para aprobar?;charla;todas
le consiguen trabajo a los estudiantes y egresados?;trabajo;todas
me mandan informacion de las carreras para mi hjo?;generalidades;todas
los negocios son lo mio que puedo estudiar?;generalidades;todas
como hago para poder mejorar las ventas de un negocio;generalidades;todas
que carrera hay que no sea diseño pero que pueda ayudar  a mejorar la ventas;generalidades;todas
que carrera tienen que ayuda a mejorar la rentabilidad de una empresa;generalidades;todas
cuando puedo empezar a estudiar?;generalidades;todas
aceptan cheques?;pagos;medios
si perdi el dni igual me puedo inscribir?;tramites;todas
que carrera tiene mas salida laboral?;charla;todas
como debo hacer para cambiar de carrera?;tramites;todas
estudio en otra universidad y quiero cambiarme al ies;tramites;equivalencias
como puedo saber que materias me reconocen de mi carrera anterior;tramites;equivalencias
debo pagar para asistir como oyente a una materia;generalidades;todas
necesitaria los telefonos del instituto para averiguar;generalidades;todas
que carreras pueden hacerse a diatancia;generalidades;todas
podrian mandarme todo sobre como estudiar en el ies;generalidades;todas
como aviso que estoy faltando  por enfermedad;tramites;todas
podrian pasarme los horarios de atencion;generalidades;todas
que tipo de becas da el ies;tramites;medios
cuales son los hoarios del cursillo;generalidades;todas
que pasa si no puede cursar el cursillo en ese horario;generalidades;todas
todas las carreras son de 3 años?;plan;todas
tienen licenciaturas?;generalidades;todas
tienen bolsa de trabajo?;trabajo;todas
uds ayudan a conseguir trabajo?;trabajo;todas
tienen programas de pasantias?;trabajo;todas
se puede conseguir trabajo antes de recibirse?;trabajo;todas
que carreras relacionadas a la tecnologia me pueden recomendar?;generalidades;todas
que carreras relacionadas a economia me pueden recomendar?;generalidades;todas
que carreras relacionadas al diseño me pueden recomendar?;generalidades;todas
que carreras tienen mas salida laboral?;trabajo;todas
tengo un familiar que estudia ahí tengo algun beneficio?;pagos;medios
tienen carreras de idiomas?;generalidades;todas
se puede estudiar ingles en el ies?;generalidades;todas
que necesito para inscribirme;tramites;requisitos
que requisitos necesito para solicitar una beca?;tramites;requisitos
 que condiciones debo cumplir para pedir una beca?;tramites;requisitos
necesito el analitico si o si para inscribirme?;tramites;requisitos
todavia no me inscribi estoy a tiempo de inscribirme?;tramites;todas
todavia no me anote pero quiero empezar la carrera de;tramites;todas
estoy a tiempo de coomenzar la carrera de;generalidades;todas
como hago para trabajar en el ies?;trabajo;todas
tienen busquedas laborales en el ies?;trabajo;todas
el ies pertenece a la universidad siglo xxi?;charla;todas
uds tienen alianzas o convenios con empresas para trabajar?;trabajo;todas
solo tienen carreras o tambien cursos cortos?;generalidades;todas
que carreras hay presenciales?;generalidades;todas
que carreras tienen a distancia?;generalidades;todas
tengo promocion pagando todo en efectivo?;pagos;precio
dan charlas de orientacion?;generalidades;todas
dan alguna orientacion de carreras?;generalidades;todas
dan charlas informativas de las carreras?;generalidades;todas
cual es la fecha del proximo cursillo?;generalidades;todas
cuando puedo inscribirme;generalidades;todas
a que numero puedo llamar para;charla;todas
de que se trata la carrera de publicidad?;plan;todas
cual es el plan de estudio de la carrera de publicidad;plan;todas
me pueden pasar el plan deestudio de la carrera de publicidad;plan;todas
cual es la salida laboral de la carrera de publicidad;trabajo;todas
tiene buena salida laboral la carrera de publicidad?;trabajo;todas
la carrera de publicidad tiene alguna continuidad despues de la tecnicatura?;generalidades;todas
que modalidades tiene la carrera de publicidad?;generalidades;todas
cual es el perfildel tecnido de publicidad?;generalidades;todas
que puede hacer un tecnido de publicidad?;generalidades;todas
tienen bolsa de trabajo para la carrera de publicidad?;trabajo;todas
que horarios tienen para la carrera de publicidad?;generalidades;todas
en que horarios se dicta la tecnicatura de publicidad?;generalidades;todas
que requisitos hay que tener para estudiar publicidad?;generalidades;todas
se necesita conocimientos previos para estudiar publicidad?;generalidades;todas
como hago para inscribirme en publicidad?;tramites;requisitos
cuantos años son de la carrera de publicidad?;plan;todas
